gender,education,city,age,income,score,target
M,bachelor,paris,28,42000,72.5,0
F,master,london,34,58000,81.3,1
M,bachelor,paris,25,38000,65.0,0
F,phd,london,41,72000,88.7,1
M,master,paris,31,51000,76.4,1
F,bachelor,paris,26,40000,70.1,0
M,master,london,38,63000,79.8,1
F,bachelor,paris,29,44000,73.2,0
M,phd,london,45,80000,90.5,1
F,master,paris,33,55000,78.6,1
M,bachelor,paris,27,41000,71.8,0
F,master,london,36,60000,82.4,1
M,phd,paris,42,75000,87.1,1
F,bachelor,london,30,46000,74.9,0
M,master,paris,35,57000,80.0,1
F,phd,london,44,78000,89.3,1
M,bachelor,paris,24,37000,64.5,0
F,master,paris,32,53000,77.2,1
M,master,london,39,65000,83.6,1
F,bachelor,paris,28,43000,72.0,0
